GameID,Quarter,Quarter_Time,Team,Play
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,11:07.0,Boston Celtics,D. White makes 3-pt jump shot from 25 ft (assist by P. Pritchard)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,10:42.0,Boston Celtics,Defensive rebound by J. Brown
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,10:18.0,Dallas Mavericks,Defensive rebound by D. Lively
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,10:14.0,Dallas Mavericks,P. Washington makes 3-pt jump shot from 25 ft (assist by L. Dončić)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,9:51.0,Dallas Mavericks,Defensive rebound by J. Green
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,9:34.0,Dallas Mavericks,L. Dončić makes 2-pt layup from 4 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,9:08.0,Dallas Mavericks,Defensive rebound by L. Dončić
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,8:56.0,Dallas Mavericks,Offensive rebound by D. Lively
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,8:56.0,Dallas Mavericks,D. Lively makes 2-pt layup at rim
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,8:32.0,Dallas Mavericks,Defensive rebound by L. Dončić
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,8:24.0,Dallas Mavericks,J. Green makes 3-pt jump shot from 24 ft (assist by L. Dončić)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,8:01.0,Dallas Mavericks,P. Washington makes free throw 1 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,8:01.0,Dallas Mavericks,P. Washington makes free throw 2 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,7:45.0,Boston Celtics,J. Brown makes 2-pt jump shot from 11 ft (assist by J. Tatum)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,7:27.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 7 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,7:09.0,Dallas Mavericks,Defensive rebound by D. Lively
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,7:01.0,Dallas Mavericks,P. Washington makes 3-pt jump shot from 23 ft (assist by L. Dončić)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,6:39.0,Dallas Mavericks,Defensive rebound by P. Washington
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,6:24.0,Boston Celtics,Defensive rebound by J. Brown
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,6:11.0,Dallas Mavericks,K. Irving makes free throw 1 of 3
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,6:11.0,Dallas Mavericks,K. Irving makes free throw 2 of 3
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,6:11.0,Dallas Mavericks,K. Irving makes free throw 3 of 3
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,5:34.0,Boston Celtics,Defensive rebound by J. Tatum
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,5:25.0,Dallas Mavericks,Defensive rebound by D. Lively
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,4:55.0,Boston Celtics,Defensive rebound by J. Brown
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,4:24.0,Dallas Mavericks,Defensive rebound by J. Green
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,4:15.0,Boston Celtics,Defensive rebound by J. Tatum
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,4:12.0,Dallas Mavericks,Instant Replay (Challenge: Ruling Stands)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,3:51.0,Dallas Mavericks,Defensive rebound by D. Lively
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,3:37.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 17 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,3:08.0,Boston Celtics,Offensive rebound by J. Brown
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,3:08.0,Boston Celtics,J. Brown makes 2-pt layup at rim
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,2:48.0,Boston Celtics,D. White makes 3-pt jump shot from 26 ft (assist by J. Holiday)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,2:32.0,Dallas Mavericks,K. Irving makes free throw 1 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,2:32.0,Dallas Mavericks,K. Irving makes free throw 2 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,2:17.0,Boston Celtics,J. Tatum makes 2-pt dunk from 2 ft (assist by D. White)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,1:57.0,Boston Celtics,Defensive rebound by D. White
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,1:55.0,Dallas Mavericks,Offensive rebound by D. Lively
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,1:55.0,Dallas Mavericks,D. Lively makes 2-pt dunk at rim
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,1:30.0,Dallas Mavericks,Defensive rebound by T. Hardaway
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,1:20.0,Dallas Mavericks,D. Lively makes 2-pt dunk at rim (assist by K. Irving)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,1:01.0,Boston Celtics,J. Brown makes 2-pt jump shot from 21 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,0:46.0,Boston Celtics,Defensive rebound by A. Horford
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,0:22.0,Boston Celtics,Defensive rebound by Team
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,0:22.0,Boston Celtics,D. White makes free throw 1 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,0:22.0,Boston Celtics,D. White makes free throw 2 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,0:16.0,Boston Celtics,Defensive rebound by J. Brown
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,0:14.0,Boston Celtics,J. Tatum makes free throw 1 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,0:14.0,Boston Celtics,J. Tatum makes free throw 2 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,0:10.0,Dallas Mavericks,Offensive rebound by Team
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,4,0:10.0,Dallas Mavericks,P. Washington makes free throw 2 of 2
