GameID,gameDate,HomeTeam,AwayTeam
June122024DalvsBos,8:30PM-June12-2024,Dallas Mavericks,Boston Celtics
GameID,Score,Quarter,QuarterTime,Team,Play
June122024DalvsBos,85-70,3,0:07.0,Boston Celtics,J. Brown makes 2-pt dunk from 2 ft
June122024DalvsBos,85-70,3,0:00.0,Dallas Mavericks,Offensive rebound by Team
June122024DalvsBos,88-70,4,11:29.0,Boston Celtics,J. Brown makes 3-pt jump shot from 23 ft
June122024DalvsBos,88-70,4,11:17.0,Boston Celtics,Defensive rebound by Team
June122024DalvsBos,91-70,4,11:07.0,Boston Celtics,D. White makes 3-pt jump shot from 25 ft
June122024DalvsBos,91-70,4,10:42.0,Boston Celtics,Defensive rebound by J. Brown
June122024DalvsBos,91-70,4,10:18.0,Dallas Mavericks,Defensive rebound by D. Lively
June122024DalvsBos,91-73,4,10:14.0,Dallas Mavericks,P. Washington makes 3-pt jump shot from 25 ft
June122024DalvsBos,91-73,4,9:51.0,Dallas Mavericks,Defensive rebound by J. Green
June122024DalvsBos,91-75,4,9:34.0,Dallas Mavericks,L. Dončić makes 2-pt layup from 4 ft
June122024DalvsBos,91-75,4,9:08.0,Dallas Mavericks,Defensive rebound by L. Dončić
June122024DalvsBos,91-75,4,8:56.0,Dallas Mavericks,Offensive rebound by D. Lively
June122024DalvsBos,91-77,4,8:56.0,Dallas Mavericks,D. Lively makes 2-pt layup at rim
June122024DalvsBos,91-77,4,8:32.0,Dallas Mavericks,Defensive rebound by L. Dončić
June122024DalvsBos,91-80,4,8:24.0,Dallas Mavericks,J. Green makes 3-pt jump shot from 24 ft
June122024DalvsBos,91-81,4,8:01.0,Dallas Mavericks,P. Washington makes free throw 1 of 2
June122024DalvsBos,91-82,4,8:01.0,Dallas Mavericks,P. Washington makes free throw 2 of 2
June122024DalvsBos,93-82,4,7:45.0,Boston Celtics,J. Brown makes 2-pt jump shot from 11 ft
June122024DalvsBos,93-84,4,7:27.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 7 ft
June122024DalvsBos,93-84,4,7:09.0,Dallas Mavericks,Defensive rebound by D. Lively
June122024DalvsBos,93-87,4,7:01.0,Dallas Mavericks,P. Washington makes 3-pt jump shot from 23 ft
June122024DalvsBos,93-87,4,6:39.0,Dallas Mavericks,Defensive rebound by P. Washington
June122024DalvsBos,93-87,4,6:24.0,Boston Celtics,Defensive rebound by J. Brown
June122024DalvsBos,93-88,4,6:11.0,Dallas Mavericks,K. Irving makes free throw 1 of 3
June122024DalvsBos,93-89,4,6:11.0,Dallas Mavericks,K. Irving makes free throw 2 of 3
June122024DalvsBos,93-90,4,6:11.0,Dallas Mavericks,K. Irving makes free throw 3 of 3
June122024DalvsBos,93-90,4,5:34.0,Boston Celtics,Defensive rebound by J. Tatum
June122024DalvsBos,93-90,4,5:25.0,Dallas Mavericks,Defensive rebound by D. Lively
June122024DalvsBos,93-90,4,4:55.0,Boston Celtics,Defensive rebound by J. Brown
June122024DalvsBos,93-90,4,4:24.0,Dallas Mavericks,Defensive rebound by J. Green
June122024DalvsBos,93-90,4,4:15.0,Boston Celtics,Defensive rebound by J. Tatum
June122024DalvsBos,93-90,4,4:12.0,Dallas Mavericks,Instant Replay
June122024DalvsBos,93-90,4,3:51.0,Dallas Mavericks,Defensive rebound by D. Lively
June122024DalvsBos,93-92,4,3:37.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 17 ft
