GameID,gameDate,HomeTeam,AwayTeam
June192016GolvsCle,8:00PM-June19-2016,Golden State Warriors,Cleveland Cavaliers
GameID,Score,Quarter,QuarterTime,Team,Play
June192016GolvsCle,81-80,4,7:45.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,81-80,4,7:40.0,Golden State Warriors,Offensive rebound by Team
June192016GolvsCle,81-80,4,7:38.0,Cleveland Cavaliers,Defensive rebound by R. Jefferson
June192016GolvsCle,83-80,4,7:15.0,Cleveland Cavaliers,L. James makes 2-pt jump shot from 5 ft
June192016GolvsCle,83-83,4,6:57.0,Golden State Warriors,S. Curry makes 3-pt jump shot from 27 ft
June192016GolvsCle,83-83,4,6:28.0,Golden State Warriors,Defensive rebound by A. Iguodala
June192016GolvsCle,83-85,4,6:18.0,Golden State Warriors,K. Thompson makes 2-pt jump shot from 20 ft
June192016GolvsCle,83-85,4,5:53.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,83-85,4,5:37.0,Golden State Warriors,Offensive rebound by D. Green
June192016GolvsCle,83-87,4,5:37.0,Golden State Warriors,D. Green makes 2-pt layup from 2 ft
June192016GolvsCle,84-87,4,5:24.0,Cleveland Cavaliers,L. James makes free throw 1 of 3
June192016GolvsCle,85-87,4,5:24.0,Cleveland Cavaliers,L. James makes free throw 2 of 3
June192016GolvsCle,86-87,4,5:24.0,Cleveland Cavaliers,L. James makes free throw 3 of 3
June192016GolvsCle,89-87,4,4:53.0,Cleveland Cavaliers,L. James makes 3-pt jump shot from 26 ft
June192016GolvsCle,89-89,4,4:39.0,Golden State Warriors,K. Thompson makes 2-pt layup from 2 ft
June192016GolvsCle,89-89,4,4:13.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,89-89,4,4:04.0,Cleveland Cavaliers,Defensive rebound by R. Jefferson
June192016GolvsCle,89-89,4,3:40.0,Golden State Warriors,Defensive rebound by Team
June192016GolvsCle,89-89,4,3:21.0,Cleveland Cavaliers,Defensive rebound by K. Love
June192016GolvsCle,89-89,4,2:59.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,89-89,4,2:50.0,Cleveland Cavaliers,Defensive rebound by L. James
June192016GolvsCle,89-89,4,2:32.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,89-89,4,2:12.0,Cleveland Cavaliers,Defensive rebound by Team
June192016GolvsCle,89-89,4,1:55.0,Golden State Warriors,Defensive rebound by A. Iguodala
June192016GolvsCle,89-89,4,1:49.0,Cleveland Cavaliers,Defensive rebound by J. Smith
June192016GolvsCle,89-89,4,1:24.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,89-89,4,1:13.0,Cleveland Cavaliers,Defensive rebound by K. Love
June192016GolvsCle,92-89,4,0:53.0,Cleveland Cavaliers,K. Irving makes 3-pt jump shot from 25 ft
June192016GolvsCle,92-89,4,0:30.0,Cleveland Cavaliers,Defensive rebound by L. James
June192016GolvsCle,92-89,4,0:22.0,Cleveland Cavaliers,Offensive rebound by K. Irving
June192016GolvsCle,92-89,4,0:11.0,Cleveland Cavaliers,Offensive rebound by Team
June192016GolvsCle,93-89,4,0:11.0,Cleveland Cavaliers,L. James makes free throw 2 of 2
June192016GolvsCle,93-89,4,0:02.0,Golden State Warriors,Offensive rebound by M. Speights
June192016GolvsCle,93-89,4,0:00.0,Golden State Warriors,Offensive rebound by Team
